01 00 北京
02 00 上海
03 00 天津
04 00 重庆
05 02 齐齐哈尔
05 03 牡丹江
05 13 双鸭山
05 01 哈尔滨
05 06 黑河
05 07 大兴安岭
05 04 佳木斯
05 05 绥化
05 08 伊春
05 09 大庆
05 12 鹤岗
05 11 鸡西
05 10 七台河
06 02 吉林
06 03 延边
06 01 长春
06 06 白城
06 07 辽源
06 04 四平
06 05 通化
06 08 松原
06 09 白山
07 02 大连
07 03 鞍山
07 13 盘锦
07 01 沈阳
07 06 丹东
07 07 锦州
07 04 抚顺
07 05 本溪
07 08 营口
07 09 阜新
07 12 朝阳
07 14 葫芦岛
07 11 铁岭
07 10 辽阳
08 02 包头
08 03 乌海
08 01 呼和浩特
08 06 赤峰
08 07 鄂尔多斯
08 04 乌兰察布
08 05 通辽
08 08 巴彦淖尔
08 09 锡林郭勒
08 12 阿拉善盟
08 11 兴安盟
08 10 呼伦贝尔
09 02 保定
09 03 张家口
09 01 石家庄
09 06 廊坊
09 07 沧州
09 04 承德
09 05 唐山
09 08 衡水
09 09 邢台
09 11 秦皇岛
09 10 邯郸
10 02 大同
10 03 阳泉
10 01 太原
10 06 晋城
10 07 临汾
10 04 晋中
10 05 长治
10 08 运城
10 09 朔州
10 11 吕梁
10 10 忻州
11 02 咸阳
11 03 延安
11 01 西安
11 06 商洛
11 07 安康
11 04 榆林
11 05 渭南
11 08 汉中
11 09 宝鸡
11 11 杨凌
11 10 铜川
12 02 青岛
12 03 淄博
12 13 威海
12 01 济南
12 06 潍坊
12 07 济宁
12 04 德州
12 05 烟台
12 08 泰安
12 09 临沂
12 16 莱芜
12 12 东营
12 17 聊城
12 14 枣庄
12 11 滨州
12 15 日照
12 10 菏泽
13 02 克拉玛依
13 03 石河子
13 13 和田
13 01 乌鲁木齐
13 06 巴州
13 07 阿拉尔
13 04 昌吉
13 05 吐鲁番
13 08 阿克苏
13 09 喀什
13 16 博州
13 12 哈密
13 14 阿勒泰
13 11 塔城
13 15 克州
13 10 伊犁
14 02 日喀则
14 03 山南
14 01 拉萨
14 06 那曲
14 07 阿里
14 04 林芝
14 05 昌都
15 02 海东
15 03 黄南
15 01 西宁
15 06 玉树
15 07 海西
15 04 海南
15 05 果洛
15 08 海北
15 09 格尔木
16 02 定西
16 03 平凉
16 13 白银
16 01 兰州
16 06 金昌
16 07 张掖
16 04 庆阳
16 05 武威
16 08 酒泉
16 09 天水
16 12 甘南
16 14 嘉峪关
16 11 临夏
16 10 陇南
17 02 石嘴山
17 03 吴忠
17 01 银川
17 04 固原
17 05 中卫
18 02 安阳
18 03 新乡
18 13 濮阳
18 01 郑州
18 06 信阳
18 07 南阳
18 04 许昌
18 05 平顶山
18 18 济源
18 08 开封
18 09 洛阳
18 16 驻马店
18 12 鹤壁
18 17 三门峡
18 14 周口
18 11 焦作
18 15 漯河
18 10 商丘
19 02 无锡
19 03 镇江
19 13 宿迁
19 01 南京
19 06 扬州
19 07 盐城
19 04 苏州
19 05 南通
19 08 徐州
19 09 淮安
19 12 泰州
19 11 常州
19 10 连云港
20 02 襄阳
20 03 鄂州
20 13 随州
20 01 武汉
20 06 黄石
20 07 咸宁
20 04 孝感
20 05 黄冈
20 08 荆州
20 09 宜昌
20 16 仙桃
20 12 神农架
20 17 潜江
20 14 荆门
20 11 十堰
20 15 天门
20 10 恩施
21 02 湖州
21 03 嘉兴
21 01 杭州
21 06 台州
21 07 温州
21 04 宁波
21 05 绍兴
21 08 丽水
21 09 金华
21 11 舟山
21 10 衢州
22 02 蚌埠
22 03 芜湖
22 13 铜陵
22 01 合肥
22 06 安庆
22 07 宿州
22 04 淮南
22 05 马鞍山
22 08 阜阳
22 09 亳州
22 16 巢湖
22 12 淮北
22 17 池州
22 14 宣城
22 11 滁州
22 15 六安
22 10 黄山
23 02 厦门
23 03 宁德
23 01 福州
23 06 漳州
23 07 龙岩
23 04 莆田
23 05 泉州
23 08 三明
23 09 南平
24 02 九江
24 03 上饶
24 01 南昌
24 06 吉安
24 07 赣州
24 04 抚州
24 05 宜春
24 08 景德镇
24 09 萍乡
24 11 鹰潭
24 10 新余
25 02 湘潭
25 03 株洲
25 01 长沙
25 06 常德
25 07 益阳
25 04 衡阳
25 05 郴州
25 08 娄底
25 09 邵阳
25 12 怀化
25 14 永州
